Topplista,Titlar,Platform,MetaScore,UserScore,ReleaseDate,Publishers,Developers
1,Persona 5 Royal,PlayStation 4,95,8.3,"March 31, 2020",Atlus,Atlus
2,The Last of Us Part II,PlayStation 4,93,5.7,"June 19, 2020",SCEA,Naughty Dog
3,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,PlayStation 4,93,8.4,"December 4, 2020",Square Enix,Square Enix
4,Hades,Switch,93,9.0,"September 17, 2020",Supergiant Games,Supergiant Games
5,Half-Life: Alyx,PC,93,9.1,"March 23, 2020",Valve Software,Valve Software
6,Ori and the Will of the Wisps,Switch,93,8.8,"September 17, 2020",Microsoft Game Studios,Moon Studios
7,Hades,PC,93,8.9,"September 17, 2020",Supergiant Games,Supergiant Games
8,Demon's Souls,PlayStation 5,92,8.4,"November 12, 2020",PlayStation Studios,"JapanStudio, Bluepoint Games"
9,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Xbox One,91,8.6,"December 4, 2020",Square Enix,Square Enix
10,Microsoft Flight Simulator,PC,91,7.2,"August 18, 2020",Xbox Game Studios,Asobo Studio
11,Crusader Kings III,PC,91,8.5,"September 1, 2020",Paradox Interactive,Paradox Interactive
12,F1 2020,Xbox One,91,7.2,"July 10, 2020",Codemasters,Codemasters
13,Spelunky 2,PC,91,6.3,"September 29, 2020",Mossmouth,"Mossmouth, Bitworks"
14,Animal Crossing: New Horizons,Switch,90,5.5,"March 20, 2020",Nintendo,Nintendo
15,Ori and the Will of the Wisps,Xbox One,90,8.8,"March 11, 2020",Microsoft Game Studios,Moon Studios
16,Yakuza 0,Xbox One,90,8.0,"February 26, 2020",SegaSoft,Ryu ga Gotoku Studios
17,Yakuza: Like a Dragon,Xbox One,89,8.5,"November 10, 2020",Sega,Sega
18,Xenoblade Chronicles: Definitive Edition,Switch,89,8.9,"May 29, 2020",Nintendo,Monolith Soft
19,There is no game : Wrong dimension,PC,89,8.8,"August 6, 2020",Draw Me A Pixel,Draw Me A Pixel
